回复我升华不了我就是一酒徒爱憎分明先生觉悟不高啊再升华一下才显层次呢～～	1
哪里啊？这是。  新闻联播、你敢播嘛。报喜不报忧，鄙视....	5
一边一个！然后一边长了！又再去打了一次！真的让我受了不少罪	1
回复 T^T要不你明天扣扣上面远程帮我看看？我朋友以前比我还小的本本FPS都只有5没道理我就一直是2啊……	2
哈哈。中了几条啊，陈先生 敢不敢啊 ，你敢不敢这么疼你的老婆[嘻嘻]	2
说的对我还没尝遍世间美食呢嗯所以去吃了一顿很好吃[哈哈][哈哈]	2
也许我刷新的那一刻有你的微博出现…或许什么都没有…我依然坚持…	1
[爱你][爱你]好吧我再轉一次[心]:追過的轉	1
【广州塔跳楼机----世界最高跳楼机】广州“小蛮腰”上的跳楼机	2
妈妈对不起我再也不会用别人的错来伤害您我不会再为任何人掉眼泪	2
在家睡了小会儿...kugoo随机播放着，一些熟悉歌在我毫无防备侵袭入了内心。不知不觉我露出了笑容，我原谅了。我虽不是很man，但我相信我有足够的爱心哎呀，找不到气氛呐，给自己来点年歌喜庆喜庆吧	2
由脑袋疼而导致睡不着，尔后，有睡不好导致脑袋更疼。用生命印证了postergohoc..fallacy!!___百度截图去。。	1
好悲哀再怎么整基因还是变不了的一代比一代丑	1
我就你们几个兄弟以后少抽点烟少喝点酒我还想和你们多玩几年呢别他妈死我前边了【转给兄弟】（更多分享尽在	2
傻敏来入侵我家啦我什么东西都扔得房间都是现还在被窝里打滚啊打滚不起来了	2
， 每次看到我女神的图都会莫名让我感到舒服[泪][泪][泪][泪]	1
原来我完全看不懂的那部居然还排到14位啊十四部公认高智商电影	1
因为爱情，怎么会有沧桑。。原来这首歌女声部分真心难唱啊。。作为一个女生一个人唱，就是男声女声部分都难唱啊。。。。。搜了一下因为爱情的围脖，爱吐槽的我非常不爽为啥有的人觉得onenightin北京好好听，但就要说因为爱情不能唱成合唱团版？脑残！《夜泊枫桥》都被唱成《涛声依旧》啦亲！	1
在美丽的贝尔港散步遇到滴一群小盆友户外教学，还主动摆好pose要我们一起照相，本来只照到一群小男孩，结果一群小女孩因为我没照到她们而好失望，因此，又跑回去给她们照了…送了她们一张拍立得，希望孩纸们不会因此而吵架好热情好可爱滴孩纸们，让我开始爱上这个地方	1
“你最近还好吗？”“恩。”“你在骗我吗？”“恩。”	2
PM：删除cookie再测试一下，看看bug能否重现。	1
重口好美！！！呃啊超喜欢~原来还down到过一本他的画集	1
举了吧、没办法啊。。 ， 我举手了，该举手的举起了  @老娘温柔到爆	1
南京太热情了吧！大家小心，不要弄到	1
[哈哈]虽然昨晚整的很狼狈不过心情没受影响的2012都来了有什么好愁的乐呵乐呵每一天	2
靠靠靠，恶心了啊。幸亏我不喜欢吃方便面。	1
再推介一下＂水蟹粥＂味道也不錯[馋嘴]每次來澳門都有吃呵記得叫埋炸墨魚丸超好味[偷笑][爱你]	1
你是说这个吗还以为深圳紫园呢现在房子就是快消品当房子成了快销品买房人就杯具了	2
不是吧[泪][泪][泪][泪][泪]真的和杨幂啊还不如胖颖呢[晕][晕][晕][晕][晕][怒]我不再支持你了	1
可爱的龙猫软糖。真舍不得入口啊。	1
你是好声音中让我感动的一个人 相信你的未来会更多充满光亮 加油。@多亮	1
好得意，你地快滴用！，这个你敢戴吗 喜欢重口味的就关注 @重口味是怎样炼成的	2
大家在31号之前不要再问我现在为啥不睡觉了现在是美东夏令时下午1点我还没吃午饭呢	2
帥！！！[爱你][爱你]，拜託喔！到成都這個城市，那絕對是要??Relax啦！是不是？	2
简直是滑天下之大稽  得住前走。， [哈哈][哈哈][哈哈]@北其村	2
我睡了上不了网还宽带提速呢提你妹的中国电信校园网[怒骂]	1
熊猫闹分手实在是太[萌]了！！！！！！！我再也不相信爱情了	1
人生就是这样有些事现在不做以后就再也没机会再也不敢做了	2
好男人必备条件大冬天遛狗你到底拉不拉再不拉我拉咯[鄙视]	2
看来我还是要闹钟不离身这寒冷的天气很容易赖床睡过头……[生病]	2
本来想找个朋友聊聊天可是发现时间能让人变得好陌生物是人非是我不够好还是她们不曾把我当朋友呢或许是高攀吧	2
我要去读地理了我这次真的是用灵魂在爱它heartandsoul接下来三天各位神麻烦罩我一下真的这次不敢出乱子了我会打心底里感谢你们的红色的喜庆一点!!!!!	2
靠旅游业赚钱，曾经的灾区办成景区，亏你们想得出来	4
[花心]有溝呀  眼睛睜大！陰影打淺了[偷笑]， #杨宗纬#沟呢，没看见沟[抓狂]	4
明明是奶奶们，哪里来的爷爷？爷爷穿所以烫头发的？	1
人生最幸福的时刻，是找对人。他宠着你，纵容你的习惯，并爱着你的一切！	1
我只对你发脾气潜意识里相信你不会离开胡闹原来是一种依赖	2
这是不是你想要的家只闻花香不谈悲喜喝茶读书不争朝夕阳光暖一点再暖一点日子慢一些再慢一些…[微风]	1
畜生、这种人会遭到报应的。，好可怜，我哭了！[泪]平日不骂人，但：畜生	2
你们在太阳城吗干吗要悄悄的呢是今早才有的呀我还以为我孤陋寡闻呢	1
[偷笑][偷笑][偷笑][偷笑]  这位大哥我是抢劫的话我都雷死了！~  真有你的！~！~！哈哈哈	1
哈哈，太准啦！！刘哥，这可不是我说你啊！ 这也太准了吧。。。[黑线]  你们心里都有数了。。。	2
原来真有这个地方我还以为是PS的呢真看不出来地球还有这么个地方	1
看标题吓一跳心想这种资产阶级毒草怎么可能在内地出啊再往下细细一看尼玛原来写的是唐朝的事儿……	4
#fx组合之看图说话#[得意地笑]L：欧尼欧尼你可要给我吃噢V：别急别急有你那份的[挖鼻屎]	1
再也不借钱给别人了再可怜也不借跪着要账还得罪人同情心不是好东西	2
活儿干到一半好像又停工了个别地段还是几个小墩儿再观察几天这个停车好高难度	1
很想一个人的时候就会把对方的名字荡过唇齿之间再缓缓吐出来这一刻是真的爱了	1
最緊要啱用！祝你日日happy!!! [嘻嘻][嘻嘻][嘻嘻][嘻嘻]	1
爱是要心来感受的，不是吗？有爱一切都变得很美好。	1
庞龙最新歌曲《兄弟抱一下》腐女们在想：光看标题就么基情四射还不知道歌词是不是“十八禁”呢o(╯□╰)o...	4
回复 我不是财主，得计划着过啊[偷笑]，回复 这不就打架了，你要吃一份扔一份不就不用打了，嘿嘿。	2
肯尼亚火烈鸟不仅是跃动的音符还是优美的花样水上体操运动员呢	2
#早安心语#早上起来告诉自己：再难也要坚持再好也要淡泊再差也要自信再多也要节省再冷也要热情	1
版权对于设计人、插画人和各种创意人士的重要性应该让更多人了解再次感谢	1
拿人家领导人的逝世来开玩笑！啥子素质！亏你网易想的出！	4
大雨洗过的北京，空气格外清新~东北山东四川的同学今天出门注意防雨~[faby ? 图]	1
兩場見面會中也有一段是仔和加藤及大家一起先拜拜兩下再拍掌兩下再許願其他的等我吃完飯後再想想	1
再憋早晚憋出内伤....还有哪些星哥星姐们还憋着呢都排出来吧	2
美国舍友说她要给我讲个chinese故事，然后名字叫做farmandlang。我想了半天，这也太中西结合了，莫非是农夫与狼的故事???后来她讲的情节越来越熟悉了，而且主人公还是个女的。。。。。再后来，我知道她在讲啥了，竟然是。。。。。花木兰！！！！	2
小资衣橱必备款~后背风琴褶百搭小外套~~时尚的帅气精致的风琴褶超级百搭穿起来非常的时尚~~￥417地址：	1
回复说这是毛笔字是对中国毛笔字的侮辱他那不过是成人的涂鸦毛笔字很不错啊看来咱们呢就剩下老祖宗的这点东西了	4
回首2011，你身边发生了什么？你发现了什么？宿舍、课室、饭堂、操场，留下了哪些生动的记忆？老师、同学，是谁为你的生活增添了笑容？记录我们的日子，分享杯洗具般的校园生活！ourdays期待你的佳作！	2
你是傻瓜嗎[狂笑]還小粉跟小金跟小紫[狂笑]  我因為今天拍廣告把頭髮噴黑！小粉跟小金跟小紫都還在喔！	2
这个问题问的很内涵啊～你是在问节目我们喜不喜欢还是在问李云迪喜不喜欢？	2
#乐生活#花开的世界虽美有你的世界会更美忙碌的一天开始了你准备好了吗可爱]	1
还以为穿了个编织袋在身上呢。。。突然有一种眼见各路妖魔在时装周肆虐观音大士要出山镇妖的恍惚感??	2
昨天坐船去澳门，带老娘逛真是累啊，这么大年纪噶活泼，走伐走伐人就找不到了。在老葡京买了100元筹码，玩了半个多小时，不赚不赔。老妈说没输就算赚，噶手两个人把100块吃掉了晚上在威尼斯人，还想试两把被拽走了。玩得太high，22点不到回码头，只买到凌晨的船票，睡到酒店床上已经3点了	1
小道消息：下周微信5.0预计要发布了。	1
在说话原来省台也有不懂风情的专家[打哈气]@新长征突击手	1
中国民企做不大，等死；做大，找死。做差异化，笑死。	1
不亏它NND艺术来源于生活啊！。一切都是浮云。	3
每天都扫出一大撮一大撮的头发……该怎么拯救呀。via米兹大小姐	2
今天已经发了300个，收到优惠代码的亲们，出来吱一声！~[爱你]	1
榜样[疑问] ，  # 田馥甄。。真有你的  转发微博。	2
如果长胖控制不了，如何做得肉长得看？？衣柜里xssize的裙子，挤进去却木有了那味道。。	2
省钱了这书不难找我还一个陈存仁签赠本呢改天找找1元拍了	1
经典慢慢来还有博尔赫斯呢到手的读完先装帧喜欢简约大方。。。[抱抱]后续在哪里	2
2012年环球小姐海南赛区的冠亚军，大家来认识下美女。[哈哈]	1
[哈哈] ，，  哈哈 哈哈 小海都不好意思了  噗。李东海你敢再囧点么	4
窝床上不敢动一起来就开始吐胃病太遭罪再过两天都要出发了如何是好	2
